RFP,RBP,RFV,RBV,RZA,RXA,RZG,LFP,LBP,LFV,LBV,LZA,LXA,LZG,M
,0.12,170,0.2,-8.64,-1.72,0.14,15.96,60.14,,104.1,-8.54,5.34,0.05,1268
,8.96,193,19,-8.41,-2.89,0.04,39.86,56.9,,124.1,-8.77,4.04,0.03,1273
,9.72,196,21.1,-8.41,-2.6,0.03,43.1,59.44,,123.1,-8.79,4.23,0.02,1278
,0.68,161,1.1,-8.59,-2.12,-0.18,40.56,83.3,,145.1,-9.71,2.34,-0.03,1283
,13.03,120.1,18,-9.54,1.75,-0.02,16.7,96.52,,197.1,-9.95,0.32,0.01,1288
,0.16,127,0.2,-8.99,-1.09,0.05,3.48,92.96,,239.1,-9.22,2.61,0,1293
,0.12,170,0.2,-8.86,-1.65,0.28,7.04,75.75,,197.1,-9.05,5.59,0.04,1298
,5.44,106.1,6.1,-9.98,1.77,-0.07,24.25,95.5,,278.1,-9.49,1.61,0.02,1303
,15.84,170,32,-8.97,-0.28,0.09,4.5,91.78,,269.1,-9.75,1.73,0.07,1308
,0.1,207,0.2,-8.83,-2.1,0.04,8.22,72.83,,268.1,-8.91,3.89,0.01,1313
,1.02,203,2.1,-8.66,-1.64,0.12,,49.61,58,57.1,-8.68,3.13,0.08,1318
,1.72,292,5.1,-8.46,-3.61,0.09,50.39,59.09,61,88.1,-9.18,3.01,0.03,1323
,8.52,130,12.1,-8.92,-1.7,0.13,40.91,72.47,,171.1,-8.48,2.63,0,1328
91.14,,73,7.1,-13.55,1.96,0.12,27.53,54.6,,143.1,-8.69,1.49,-0.01,1333
,6.23,182,12.1,-8.86,-1.17,0.07,,75.17,,230.1,-9.82,1.26,0.05,1338
97.05,2.95,69.1,2.1,-8.76,-1.55,0.02,24.83,86.06,,161.1,-10.02,0.53,0.01,1343
84.18,15.82,75,14.1,-8.75,-1.77,0.03,13.94,82.35,,187.1,-9.59,-0.12,0.02,1348
,3.18,125,4.1,-9.25,-1.91,0.05,17.65,75.61,,220.1,-10.36,-1.62,0.01,1353
85.4,14.6,59.1,10.1,-9.26,-1.57,0.07,24.39,76.2,,192.1,-9.71,0.65,0.06,1358
,0.18,111.1,0.2,-9.17,-6.04,0.48,23.8,99.84,,122.1,-8.07,4.05,-0.05,1363
95.35,4.65,84,4.1,-8.43,-1.47,-0.51,0.16,105.931071,,107.1,-8.8,5.77,0.44,1368
90.2,9.8,93,10.1,-8.39,-2.17,-0.02,-5.93,99.89,,177.1,-9.58,3.88,0.31,1373
,13.14,119,18,-8.19,-2.68,-0.42,0.11,95.91,,143.1,-8.58,4.54,0.45,1378
73.81,26.19,45.1,16,-7.17,-3.12,-0.16,4.09,78.86,,123.1,-7.65,6.7,0.32,1383
96.23,3.77,5.1,0.2,11.48,3.33,-8.73,21.14,,0.2,0.2,0,16.27,8.73,1388
71.99,28.01,59.1,23,-3.73,-2.91,0.2,50,77.79,,203.1,-8.71,4.79,0.17,1393
99.01,0.99,20.1,0.2,-6.16,-5.69,0.26,22.21,75.85,15,47.1,-31.15,2.06,0.08,1398
